Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,7.6211,7.6211,8.4070,8.4070,11.6485,11.6485,16.9328,16.9328,8.0687,8.0687,7.0481,7.0481,8.4632,8.4632,8.4169,8.4169,14.5979,14.5979,7.9744,7.9744,8.4684,8.4684,11.0661,11.0661,13.5125,13.5125,8.2780,8.2780,6.8566,6.8566,8.3417,8.3417,8.4558,8.4558
2,6.8756,7.2483,6.7980,7.6025,16.1169,13.8827,16.5381,16.7355,6.0743,7.0715,7.1064,7.0773,6.4205,7.4419,6.4225,7.4197,12.7823,13.6901,6.7063,7.3404,6.6712,7.5698,12.9794,12.0228,13.2881,13.4003,5.8395,7.0588,6.0693,6.4630,6.8307,7.5862,6.8935,7.6746
3,8.8428,7.7798,11.8162,9.0071,15.7123,14.4926,20.4784,17.9831,11.1376,8.4269,11.9561,8.7035,13.0703,9.3180,11.8597,8.8997,16.7771,14.7191,10.9030,8.5279,12.4133,9.1843,15.4389,13.1615,18.9898,15.2635,11.6203,8.5793,12.5101,8.4787,11.5075,8.8933,12.0141,9.1211
4,9.3510,8.1726,14.2050,10.3065,18.3831,15.4652,26.2373,20.0467,13.2805,9.6403,16.0932,10.5509,15.5993,10.8883,13.5239,10.0558,21.6163,16.4434,13.4836,9.7668,13.5851,10.2845,17.9822,14.3667,27.4038,18.2985,13.4234,9.7903,15.3941,10.2075,13.8473,10.1318,13.6029,10.2415
5,9.7850,8.4951,13.2701,10.8993,12.9536,14.9629,24.1306,20.8635,12.5570,10.2236,16.7845,11.7977,18.0271,12.3161,12.9961,10.6438,21.8798,17.5307,12.5638,10.3262,13.2467,10.8770,13.9231,14.2779,26.1122,19.8613,12.6901,10.3703,15.5575,11.2775,12.7976,10.6649,13.2807,10.8494
6,10.5473,8.8371,17.3916,11.9813,17.1832,15.3329,33.8647,23.0303,17.8991,11.5029,17.3462,12.7224,20.9932,13.7623,17.3835,11.7671,32.7294,20.0638,17.7961,11.5712,17.0758,11.9101,17.7752,14.8608,32.7155,22.0037,17.5250,11.5627,17.5171,12.3175,17.4801,11.8008,17.3087,11.9259
7,17.1924,10.0307,22.1301,13.4311,25.3548,16.7646,31.3703,24.2218,19.7343,12.6788,23.2653,14.2285,23.8811,15.2078,22.0306,13.2333,28.1979,21.2258,21.9986,13.0608,22.1288,13.3699,25.1070,16.3246,29.4825,23.0721,21.7182,13.0135,22.5248,13.7756,22.0425,13.2639,22.1381,13.3848
8,14.5116,10.5908,18.9645,14.1228,20.2203,17.1966,21.6245,23.8971,16.9656,13.2146,20.1336,14.9667,21.9123,16.0459,17.2996,13.7416,20.6718,21.1566,16.9597,13.5482,17.3862,13.8719,20.1829,16.8069,20.7885,22.7866,17.1723,13.5334,21.3798,14.7262,17.7784,13.8282,17.5986,13.9115
9,17.2278,11.3283,24.5781,15.2845,25.9023,18.1639,24.9786,24.0173,22.2207,14.2153,23.7659,15.9444,24.6052,16.9969,23.8216,14.8616,26.2145,21.7186,24.2971,14.7425,23.9966,14.9969,26.8418,17.9219,25.9151,23.1342,23.5799,14.6496,24.1392,15.7721,24.4930,15.0132,24.3584,15.0723
10,18.4776,12.0432,25.7954,16.3356,27.6781,19.1153,29.6249,24.5780,24.0920,15.2030,25.5603,16.9060,26.4837,17.9456,25.3603,15.9115,27.3544,22.2822,25.3080,15.7991,25.0937,16.0066,27.1047,18.8401,25.7307,23.3939,23.8571,15.5704,26.3932,16.8342,25.2880,16.0407,25.4034,16.1054
11,19.4127,12.7132,27.6020,17.3598,26.8327,19.8169,27.2430,24.8203,24.7562,16.0714,27.7106,17.8882,27.5988,18.8231,26.1832,16.8453,25.4868,22.5735,26.2057,16.7451,25.8889,16.9050,25.4955,19.4452,25.6204,23.5963,26.7517,16.5869,27.7473,17.8263,27.3856,17.0720,27.2583,17.1193
12,20.0354,13.3234,20.5804,17.6282,22.3090,20.0246,25.0309,24.8378,20.5579,16.4453,21.3718,18.1785,21.3874,19.0368,20.4441,17.1452,24.8755,22.7653,20.4238,17.0517,20.4462,17.2001,21.4396,19.6114,24.4645,23.6686,20.5071,16.9135,21.3949,18.1237,20.4356,17.3523,20.4367,17.3957
13,7.9863,12.9128,9.7932,17.0255,19.7363,20.0024,20.4499,24.5003,8.2614,15.8158,12.4433,17.7373,11.0144,18.4197,8.9369,16.5138,19.0894,22.4826,9.5754,16.4766,9.0286,16.5715,17.2408,19.4290,17.7734,23.2152,8.6195,16.2755,11.1380,17.5863,9.6606,16.7606,9.4748,16.7864
14,7.6732,12.5386,9.2790,16.4722,18.8536,19.9203,20.9212,24.2447,8.9107,15.3226,12.9334,17.3942,10.8698,17.8804,8.4849,15.9403,19.9413,22.3010,8.8757,15.9337,8.6891,16.0085,17.6635,19.3029,19.3216,22.9370,8.6964,15.7342,11.1717,17.1281,8.9535,16.2030,8.8767,16.2215
15,10.0803,12.3747,11.7005,16.1541,20.0743,19.9306,22.7985,24.1482,10.5363,15.0035,16.1207,17.3093,14.3228,17.6433,10.4587,15.5748,21.5308,22.2497,11.0868,15.6105,10.7572,15.6584,19.9163,19.3438,21.7652,22.8589,10.5481,15.3884,14.6100,16.9602,11.3460,15.8792,11.0847,15.8790
16,11.4937,12.3196,13.0665,15.9611,21.2707,20.0144,24.0352,24.1412,11.8650,14.8073,17.4502,17.3181,15.6835,17.5208,11.7792,15.3376,22.6927,22.2774,12.3961,15.4096,12.1363,15.4383,21.1955,19.4595,23.0116,22.8685,11.8888,15.1697,15.9893,16.8996,12.7017,15.6806,12.4621,15.6655
17,13.5677,12.3930,14.7795,15.8916,22.7608,20.1759,25.4751,24.2197,13.6968,14.7420,18.8762,17.4098,17.2166,17.5029,13.7765,15.2458,23.8889,22.3722,14.1192,15.3337,14.1683,15.3636,22.7181,19.6512,24.3411,22.9551,13.7966,15.0889,17.5249,16.9363,14.4422,15.6077,14.2300,15.5810
18,20.9025,12.8658,39.2275,17.1880,37.2946,21.1270,36.9013,24.9242,37.9349,16.0305,37.8597,18.5459,37.8249,18.6319,37.1297,16.4616,36.8062,23.1741,38.2965,16.6094,37.3140,16.5830,37.8848,20.6642,37.6857,23.7735,36.8137,16.2959,37.8467,18.0980,39.1089,16.9134,38.6158,16.8607
