Frame,MSE_KF,Avg_MSE_KF
1,27.4051,27.4051
2,27.4051,27.4051
3,27.4051,27.4051
4,28.6167,27.7080
5,28.6167,27.8897
6,28.9105,28.0599
7,30.2553,28.3735
8,31.4408,28.7569
9,32.1251,29.1311
10,35.1034,29.7284
11,35.1557,30.2218
12,35.3652,30.6504
13,35.2732,31.0060
14,32.3203,31.0999
15,29.1990,30.9731
16,28.4889,30.8179
17,27.6820,30.6334
18,27.9183,30.4826
19,26.8009,30.2888
20,28.6500,30.2068
21,31.1126,30.2500
22,30.8082,30.2754
23,30.5579,30.2876
24,30.7714,30.3078
25,31.0833,30.3388
26,31.2856,30.3752
27,29.5900,30.3461
28,28.2700,30.2720
29,27.0472,30.1608
30,26.4815,30.0382
31,26.3787,29.9201
32,26.7434,29.8208
33,27.2509,29.7430
34,26.4437,29.6459
35,25.0730,29.5153
36,24.9613,29.3888
37,24.7177,29.2625
38,24.2493,29.1306
39,23.7052,28.9915
40,24.0373,28.8676
41,25.3755,28.7825
42,24.9372,28.6909
43,23.2866,28.5652
44,23.0236,28.4393
45,23.2608,28.3242
46,21.2447,28.1703
47,19.6967,27.9900
48,18.8865,27.8004
49,18.2698,27.6059
50,21.5213,27.4842
51,21.7291,27.3713
52,22.4645,27.2770
53,23.3299,27.2025
54,23.9101,27.1415
55,23.9572,27.0836
56,23.6322,27.0220
57,23.5295,26.9607
58,23.4312,26.8999
59,22.8564,26.8313
60,23.0930,26.7690
61,23.0345,26.7078
62,22.8632,26.6458
63,22.2438,26.5759
64,22.4282,26.5111
65,21.6456,26.4362
66,20.0624,26.3397
67,19.7865,26.2419
68,14.9097,26.0752
69,13.3156,25.8903
70,14.6425,25.7296
71,20.2265,25.6521
72,6.4336,25.3852
73,6.7908,25.1305
74,11.1352,24.9413
75,20.6792,24.8845
76,31.3587,24.9697
77,31.3587,25.0527
78,31.9844,25.1415
79,31.9844,25.2282
80,32.0601,25.3136
81,32.0601,25.3968
82,32.2782,25.4808
83,32.2782,25.5627
84,32.9293,25.6504
85,32.9293,25.7360
86,32.6325,25.8162
87,32.0592,25.8879
88,32.4827,25.9629
89,32.4827,26.0361
90,32.7477,26.1107
