Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,54.7365,54.7365,57.7037,45.6444,64.0232,54.7365,54.7365,57.7037,45.6444,64.0232
2,57.5888,57.5888,60.3753,49.6577,49.6577,56.1626,56.1626,59.0395,47.6510,56.8404
3,56.7289,56.7270,59.3279,49.9587,49.9587,56.3514,56.3508,59.1356,48.4203,54.5465
4,56.7289,56.7270,59.3273,49.9587,49.9587,56.4458,56.4448,59.1835,48.8049,53.3996
5,64.2708,64.2654,57.4609,48.7217,48.7217,58.0108,58.0089,58.8390,48.7882,52.4640
6,59.1892,59.1833,54.1779,44.1254,44.1254,58.2072,58.2047,58.0622,48.0111,51.0742
7,58.9561,58.5508,54.1226,43.8628,43.8628,58.3142,58.2541,57.4994,47.4185,50.0440
8,53.3432,52.1464,50.3962,44.8749,44.8749,57.6928,57.4906,56.6115,47.1005,49.3979
9,50.1057,48.6476,53.6676,41.4246,41.4246,56.8498,56.5081,56.2844,46.4699,48.5120
10,47.0525,46.5946,51.4006,38.6541,40.5655,55.8701,55.5167,55.7960,45.6883,47.7173
11,55.4491,55.0831,52.8955,46.1130,48.0286,55.8318,55.4773,55.5323,45.7269,47.7456
12,53.6847,53.1708,56.0380,43.8654,43.8654,55.6529,55.2851,55.5745,45.5718,47.4223
13,50.9613,49.4351,53.7983,43.3742,43.3742,55.2920,54.8351,55.4378,45.4027,47.1109
14,43.3603,42.2655,50.4341,35.9374,35.9374,54.4397,53.9373,55.0804,44.7266,46.3128
15,41.5691,41.1691,46.4959,35.4396,35.4396,53.5817,53.0861,54.5081,44.1075,45.5879
16,41.1384,40.2403,42.3842,36.8383,36.8383,52.8040,52.2832,53.7504,43.6532,45.0410
17,33.0221,32.2160,35.1202,33.9377,34.1138,51.6403,51.1028,52.6545,43.0817,44.3983
18,35.7934,35.0195,31.2554,35.2564,36.9902,50.7599,50.2093,51.4656,42.6469,43.9867
19,54.9188,54.5715,32.2941,51.1493,55.4057,50.9788,50.4389,50.4566,43.0944,44.5877
20,54.9188,54.5715,35.4701,51.1493,55.4057,51.1758,50.6455,49.7073,43.4972,45.1286
21,55.7130,55.2399,38.1547,53.6553,59.1504,51.3919,50.8643,49.1572,43.9809,45.7963
