Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,45.6417,42.9891,45.6417,45.7559
2,45.5565,42.6825,45.5565,45.6681
3,45.5565,42.6825,45.5565,45.6681
4,44.8866,41.7242,44.8866,44.9878
5,45.3729,42.0248,45.3729,45.1911
6,49.1774,48.7085,49.1751,45.1329
7,53.6572,53.5900,53.6569,45.8414
8,54.9087,54.9722,54.9057,47.5043
9,55.0867,54.9864,55.0878,49.9642
10,54.0009,54.2279,54.0023,53.1284
11,53.8564,54.0688,53.8574,53.9269
12,54.4748,55.5907,54.4749,54.8301
13,45.9663,36.2592,45.9620,53.3988
14,52.5198,43.5700,52.5212,55.3141
15,56.0477,49.7208,55.9121,56.4308
16,57.1902,56.5576,57.1853,52.7301
17,56.6596,57.6247,56.6450,54.7203
18,46.3352,44.0927,46.1460,50.6198
19,40.3247,39.2282,40.3280,43.6985
20,41.3481,37.5489,41.3418,35.2632
21,40.3822,38.0852,40.3724,31.8654
22,45.7630,46.3751,45.7635,29.0709
23,47.0407,46.9291,47.0415,31.7296
24,33.5406,33.9987,33.4665,34.4064
25,35.0576,38.5066,35.0554,33.7592
26,32.8598,37.7650,32.8499,32.9153
27,32.6889,38.0890,32.6553,32.5591
28,34.6471,35.2830,34.5568,33.4485
29,30.7232,29.9730,30.6586,32.0531
30,30.5269,29.6193,30.4740,31.0275
31,30.6072,28.3140,30.5202,30.2610
32,33.2480,31.8038,33.2096,29.8528
33,35.4204,34.2704,35.4499,31.4588
34,35.5783,33.9207,36.0673,30.9438
35,37.6594,34.0508,38.1988,31.5961
36,45.5776,40.2521,45.8657,33.0916
37,41.3375,33.7932,41.4764,35.6596
38,36.4101,31.5024,36.9092,37.0425
39,30.8624,32.1666,31.8562,37.1989
40,47.6833,47.2793,48.7643,39.1147
41,43.7028,42.7038,43.4564,38.1925
42,23.9134,23.7420,22.6162,31.7756
43,21.8631,21.7553,21.0691,27.2429
44,26.0408,26.1541,25.3598,25.0851
45,27.3737,26.8070,26.7794,23.2786
46,21.2651,21.2438,20.4805,21.7584
47,21.4689,21.2256,20.7593,21.5178
48,19.5314,19.6235,18.9535,21.0223
49,18.5792,17.6898,18.2751,20.1923
50,15.3621,15.3498,15.7197,18.3980
51,38.3738,37.3578,38.7948,19.2350
52,37.1509,37.1667,37.9278,21.3860
53,36.4154,34.3915,37.5881,24.9816
54,36.7239,36.2670,37.8376,30.5136
55,31.9623,29.3663,34.7866,36.6592
56,31.0220,28.6875,33.3066,33.9745
57,24.8230,26.4617,28.8448,30.6084
58,22.7063,23.1122,24.0663,28.5619
59,28.5216,29.4712,28.8210,27.8295
60,26.4233,28.1595,27.4332,27.7034
61,22.8352,27.6391,24.4753,26.4480
62,17.6518,19.7587,18.5667,23.2079
63,20.0490,24.0151,20.8067,23.2991
64,19.9030,23.8155,20.8260,22.1665
65,19.6902,23.2477,20.3000,21.8823
66,20.2766,22.7868,20.8552,21.7514
67,21.0052,23.2837,21.4993,20.7981
68,19.7638,22.1825,19.7707,19.2371
69,20.0201,22.4579,19.7467,18.8435
70,19.9584,21.8855,19.1838,19.0594
71,21.1713,20.9986,19.3856,19.9866
72,22.9465,22.3618,20.3763,21.0264
73,23.5074,22.8705,20.9150,21.2265
74,24.8635,22.8602,21.5720,21.8674
75,26.7519,22.1957,25.1130,24.3423
76,27.1697,23.3034,25.9884,25.1030
77,25.8043,23.9157,25.3067,24.9116
78,25.8948,25.7407,24.8646,25.2773
79,27.4145,26.8413,26.3322,25.4569
80,28.1955,24.8176,27.9282,25.4179
81,36.1727,32.7399,34.2901,26.3773
82,40.6506,38.9852,40.3614,29.5010
83,49.0467,47.0160,48.3427,33.4519
84,41.7651,41.5283,41.2495,40.7894
85,38.2290,37.8759,38.3383,41.4648
86,53.7371,47.6678,52.0105,43.7898
87,52.1467,45.5563,50.6135,46.0390
88,55.3097,55.6258,55.7604,46.8242
89,55.0379,51.2203,54.5050,50.3678
90,50.3341,49.3820,49.6366,49.5200
91,48.9306,49.5832,49.3914,47.4031
92,40.6742,41.3078,40.6425,41.8673
93,38.6277,40.8131,39.2703,37.5725
94,35.1044,30.3318,31.7197,34.8710
95,34.5156,31.9324,31.3974,27.9447
96,33.3581,30.3943,28.7467,26.2000
97,43.9215,34.3520,39.3457,25.1356
98,18.5737,20.6482,18.5319,19.8052
99,19.4663,18.4990,18.7274,18.5149
100,16.9318,16.2011,16.7247,17.0707
101,14.4765,13.5366,14.6717,15.5929
102,17.5701,16.5248,17.2395,14.6695
103,17.1241,16.2764,16.9298,14.0549
104,15.7708,16.1293,15.7338,13.6165
105,15.6276,16.0135,15.6479,14.2459
106,16.1256,16.1077,16.1818,15.3361
107,16.3738,16.0301,16.5553,15.8885
108,17.2092,16.8688,17.4213,16.7745
109,17.8359,17.8046,18.2694,17.2342
110,19.3663,19.5489,19.1012,18.8811
111,19.3280,19.4262,19.8820,19.4653
112,22.2025,21.9437,22.1616,21.8421
113,23.9383,23.8585,23.9811,23.0316
114,24.9017,24.8351,24.9491,24.7486
115,24.3590,24.2345,24.3658,24.6194
116,24.9388,24.8049,24.9133,25.1406
117,24.6994,24.6388,24.7631,25.0986
118,24.1300,24.0727,24.1754,24.2030
119,24.3718,24.3341,24.4319,24.4398
120,25.0961,25.0634,25.1386,25.1292
121,25.2721,25.2481,25.3217,25.2880
122,24.6685,24.6451,24.7033,24.6790
123,25.0142,24.9912,25.0517,25.0568
124,26.6704,26.6505,26.7229,26.7187
125,26.4915,26.4612,26.5223,26.5687
126,26.8998,26.8548,26.9189,26.8764
127,17.0197,15.3999,16.5707,23.2808
128,21.6707,18.0361,21.9971,22.1201
129,20.0330,19.3999,19.6535,19.7285
130,21.1850,20.7096,20.9020,18.9278
131,24.4867,21.8835,23.7979,19.7973
132,23.8988,22.4689,23.4886,21.4606
133,27.9488,24.7041,25.0876,26.2909
134,28.4008,23.9052,24.8107,27.5964
135,37.1006,34.9563,35.1791,36.8110
136,37.0280,34.3966,34.9835,36.3014
137,36.8274,32.0806,33.3708,36.1147
138,38.0726,31.7753,34.4050,36.1859
139,41.0879,36.3865,37.9259,38.2996
140,41.3813,35.8230,37.6374,39.2293
141,42.8868,35.7052,39.3274,40.3810
142,41.8831,33.0864,36.3358,43.9467
143,41.1910,32.6351,36.9505,37.7744
144,39.1234,35.2125,35.3554,37.5991
145,38.6233,34.4624,35.3166,38.3535
146,41.9622,35.7787,39.3682,40.3262
147,39.6071,38.1223,38.8526,38.1651
148,38.6005,34.3087,36.2644,37.2058
149,37.6433,33.7030,35.5751,36.6575
