Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF,Avg_DefMean,Avg_BestEnvelope,Avg_Ours_BayF,Avg_Ours_KF
1,54.7387,45.6322,54.7387,57.7071,54.7387,45.6322,54.7387,57.7071
2,56.4810,47.8177,56.4810,59.4190,55.6098,46.7250,55.6098,58.5631
3,56.7312,49.9475,56.7293,59.3312,55.9836,47.7992,55.9830,58.8191
4,56.7312,49.9475,56.7293,59.3306,56.1705,48.3362,56.1696,58.9470
5,55.9043,50.3409,55.9026,58.2884,56.1173,48.7372,56.1162,58.8153
6,64.2674,48.7220,64.2620,57.4713,57.4756,48.7346,57.4738,58.5913
7,59.1845,44.1123,59.1786,54.1934,57.7197,48.0743,57.7173,57.9630
8,59.7684,44.3907,59.5320,54.6054,57.9758,47.6139,57.9442,57.5433
9,58.9570,43.8592,58.5516,55.1047,58.0848,47.1967,58.0117,57.2723
10,53.5266,41.6761,52.1789,53.9846,57.6290,46.6446,57.4284,56.9436
11,48.8583,40.1613,48.3106,48.0721,56.8317,46.0552,56.5995,56.1371
12,55.4490,46.1123,55.0826,45.7148,56.7165,46.0600,56.4731,55.2685
13,53.6864,43.8657,53.1702,47.2144,56.4834,45.8912,56.2190,54.6490
14,50.9507,43.3659,49.4205,44.2107,56.0882,45.7108,55.7334,53.9034
15,43.3540,35.9372,42.2610,42.0913,55.2392,45.0592,54.8353,53.1159
16,40.9474,36.5042,40.0719,38.5306,54.3460,44.5245,53.9125,52.2043
17,39.4389,30.3084,38.4434,34.8802,53.4691,43.6883,53.0026,51.1853
18,33.0204,33.9256,32.2156,30.9800,52.3331,43.1459,51.8478,50.0628
19,35.7927,35.2608,35.0205,27.5916,51.4625,42.7309,50.9621,48.8801
20,54.9203,51.6393,54.6262,28.8276,51.6354,43.1763,51.1453,47.8775
21,54.9203,51.6393,54.6262,33.2081,51.7918,43.5793,51.3111,47.1789
22,56.0734,54.0450,55.7154,35.9927,51.9865,44.0550,51.5113,46.6704
23,53.6679,51.0157,53.7530,40.7509,52.0596,44.3577,51.6087,46.4131
24,52.9082,50.5093,53.0072,46.7405,52.0949,44.6140,51.6670,46.4267
25,54.8678,50.9841,54.3689,46.8953,52.2058,44.8688,51.7751,46.4455
26,53.4276,52.4925,52.9570,46.6031,52.2528,45.1620,51.8205,46.4515
27,48.1023,45.2040,47.5477,44.5666,52.0991,45.1636,51.6623,46.3817
28,48.0494,48.9383,47.3045,41.2222,51.9545,45.2984,51.5067,46.1974
29,45.3756,41.7917,43.8177,39.2826,51.7276,45.1775,51.2415,45.9590
30,45.3723,43.3419,44.0266,39.5487,51.5158,45.1163,51.0010,45.7453
31,45.7889,44.6177,44.5597,41.2579,51.3310,45.1002,50.7932,45.6006
32,44.7815,43.4137,43.5728,44.0852,51.1264,45.0475,50.5676,45.5532
33,44.1636,42.4677,43.2548,43.7964,50.9154,44.9693,50.3460,45.5000
34,44.0002,44.9341,43.6791,44.6061,50.7120,44.9683,50.1499,45.4737
35,43.5845,44.5673,43.3025,44.6249,50.5083,44.9568,49.9543,45.4494
36,44.9218,46.3359,44.7819,45.6432,50.3531,44.9951,49.8106,45.4548
37,44.9664,46.5929,45.2038,46.0195,50.2076,45.0383,49.6861,45.4701
38,45.0882,47.0129,45.3741,46.2423,50.0728,45.0903,49.5726,45.4904
39,45.1023,47.9712,45.5745,46.2608,49.9454,45.1642,49.4701,45.5102
40,44.9935,47.8560,45.4513,46.4477,49.8216,45.2315,49.3696,45.5336
41,36.9150,32.8963,37.7755,44.3335,49.5068,44.9306,49.0868,45.5043
42,36.3016,35.1418,37.8447,40.5045,49.1924,44.6975,48.8192,45.3853
43,40.8187,42.4417,41.7280,39.2548,48.9977,44.6451,48.6543,45.2427
44,26.2097,27.9505,27.8497,32.3959,48.4797,44.2656,48.1814,44.9507
45,26.2097,27.9505,27.8497,27.4443,47.9849,43.9031,47.7296,44.5617
46,30.5012,26.4998,31.1718,24.8628,47.6048,43.5248,47.3697,44.1335
47,26.8155,27.2193,28.1480,24.1364,47.1625,43.1778,46.9607,43.7080
48,25.6529,26.6274,26.8549,23.4646,46.7143,42.8330,46.5418,43.2863
49,24.7575,26.0454,25.5867,24.2596,46.2662,42.4904,46.1142,42.8980
50,23.6748,25.5527,24.0848,24.6522,45.8144,42.1517,45.6736,42.5330
51,23.7116,25.6625,24.1449,24.3116,45.3810,41.8284,45.2514,42.1758
52,22.9829,24.4883,22.9718,23.5372,44.9503,41.4949,44.8230,41.8173
53,22.9829,24.4883,22.9718,23.3197,44.5358,41.1740,44.4107,41.4683
54,21.6209,24.0212,22.2097,21.7512,44.1115,40.8564,43.9996,41.1032
55,24.5456,26.6627,25.5285,25.5273,43.7557,40.5983,43.6637,40.8200
56,25.1885,26.6612,25.5376,25.8185,43.4242,40.3494,43.3401,40.5521
57,24.7645,26.3239,25.5611,25.7010,43.0968,40.1034,43.0281,40.2916
58,23.2111,27.2386,25.8150,25.8950,42.7539,39.8816,42.7314,40.0433
59,22.5115,24.3518,24.9743,24.9947,42.4108,39.6183,42.4304,39.7883
