Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,16.9715,16.9715,17.3009,16.1757,21.3203,16.9715,16.9715,17.3009,16.1757,21.3203
2,17.0500,15.2969,16.7291,16.8902,17.8682,17.0108,16.1342,17.0150,16.5330,19.5942
3,16.8854,16.3149,16.2097,18.2495,18.7359,16.9690,16.1944,16.7466,17.1052,19.3081
4,16.6905,16.9369,16.4930,18.6502,19.6387,16.8994,16.3800,16.6832,17.4914,19.3908
5,16.5399,16.9352,16.9277,18.3049,19.6744,16.8275,16.4911,16.7321,17.6541,19.4475
6,16.5475,16.9385,17.7221,18.3352,19.4421,16.7808,16.5656,16.8971,17.7676,19.4466
7,16.9009,17.5162,18.3491,18.5025,20.0957,16.7980,16.7014,17.1045,17.8726,19.5393
8,18.1332,18.8546,18.9714,20.5890,22.0730,16.9649,16.9706,17.3379,18.2122,19.8560
9,18.6453,19.2479,18.7199,20.4228,21.8607,17.1516,17.2236,17.4914,18.4578,20.0788
10,16.4527,17.9601,18.4247,19.0675,20.0925,17.0817,17.2973,17.5847,18.5188,20.0801
11,16.4344,17.6837,18.3514,19.5737,20.1978,17.0229,17.3324,17.6544,18.6147,20.0908
12,16.9405,18.2132,18.8142,20.1258,21.0202,17.0160,17.4058,17.7511,18.7406,20.1683
13,16.5103,18.2026,19.0800,19.9825,20.5430,16.9771,17.4671,17.8533,18.8361,20.1971
14,15.6125,17.1399,18.8224,19.0857,20.8677,16.8796,17.4437,17.9225,18.8540,20.2450
15,13.7816,15.2729,18.1791,16.4043,20.7046,16.6731,17.2990,17.9396,18.6906,20.2756
16,13.6551,15.2519,17.9535,16.6207,18.0765,16.4845,17.1711,17.9405,18.5613,20.1382
17,13.7654,15.8551,17.8305,17.2152,17.9735,16.3245,17.0936,17.9340,18.4821,20.0109
18,14.3666,15.8791,17.8414,17.7366,19.8418,16.2157,17.0262,17.9289,18.4407,20.0015
19,14.7609,16.1087,17.2090,18.5484,20.7970,16.1392,16.9779,17.8910,18.4463,20.0433
20,13.9556,15.2549,16.8784,18.3525,20.3176,16.0300,16.8917,17.8404,18.4416,20.0571
21,13.9510,14.5069,16.4381,19.0115,20.4004,15.9310,16.7782,17.7736,18.4688,20.0734
