Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,17.0496,15.2975,16.7280,16.8917,17.4555,17.0496,15.2975,16.7280,16.8917,17.4555
2,16.8849,16.3162,16.2093,18.2509,18.2509,16.9673,15.8068,16.4686,17.5713,17.8532
3,16.6900,16.9384,16.4932,18.6484,19.1027,16.8748,16.1840,16.4768,17.9303,18.2697
4,16.5394,16.9369,16.9287,18.3030,19.1682,16.7910,16.3722,16.5898,18.0235,18.4943
5,16.5470,16.9402,17.7238,18.3333,19.1891,16.7422,16.4858,16.8166,18.0855,18.6333
6,16.7483,17.4203,18.2663,18.4988,19.8096,16.7432,16.6416,17.0582,18.1543,18.8294
7,17.7448,18.6024,18.7902,20.2871,21.1515,16.8863,16.9217,17.3056,18.4590,19.1611
8,18.7532,19.3843,18.8714,20.3880,21.0372,17.1196,17.2295,17.5014,18.7001,19.3956
9,18.6061,18.9422,18.5226,19.6895,20.1553,17.2848,17.4198,17.6148,18.8101,19.4800
10,16.4332,17.6838,18.4949,19.5786,20.1987,17.1996,17.4462,17.7028,18.8869,19.5519
11,16.9400,18.2145,18.9269,20.1296,21.0213,17.1760,17.5161,17.8141,18.9999,19.6855
12,16.5102,18.2035,19.0951,19.9811,19.9811,17.1206,17.5734,17.9209,19.0817,19.7101
13,15.6249,17.1416,18.6767,19.0891,19.0891,17.0055,17.5401,17.9790,19.0822,19.6623
14,13.7819,15.2748,18.1821,16.4012,17.7875,16.7752,17.3783,17.9935,18.8907,19.5284
15,13.7662,15.8562,18.0993,17.2172,17.9747,16.5746,17.2769,18.0006,18.7792,19.4248
16,14.3673,15.8835,17.9554,17.7382,19.8432,16.4367,17.1898,17.9977,18.7141,19.4510
17,14.7603,16.1090,17.4177,18.5497,20.7968,16.3381,17.1262,17.9636,18.7044,19.5302
18,13.9558,15.2551,16.8805,18.3549,20.3182,16.2057,17.0223,17.9034,18.6850,19.5739
19,14.0406,15.0979,16.2834,19.5625,21.5654,16.0918,16.9210,17.8182,18.7312,19.6787
20,14.0874,15.1113,15.5295,17.7894,22.1569,15.9916,16.8305,17.7037,18.6841,19.8027
21,13.8522,13.9962,14.5697,16.6397,22.0373,15.8897,16.6955,17.5545,18.5868,19.9091
22,13.5783,14.3797,13.8799,18.3730,21.2463,15.7846,16.5903,17.3875,18.5770,19.9699
23,13.3389,14.0161,13.3588,17.6051,21.6292,15.6783,16.4783,17.2123,18.5348,20.0420
24,13.7261,13.3081,12.6886,16.2080,22.7546,15.5969,16.3462,17.0238,18.4378,20.1550
25,13.2892,13.2794,12.4522,17.0437,22.2548,15.5046,16.2236,16.8410,18.3821,20.2390
26,16.9430,15.3359,13.1087,17.5948,18.0108,15.5599,16.1894,16.6974,18.3518,20.1533
27,17.1308,15.6637,14.2686,20.4080,20.8480,15.6181,16.1700,16.6075,18.4279,20.1790
28,17.1119,18.1978,14.2977,19.3580,19.9136,15.6715,16.2424,16.5250,18.4612,20.1696
29,20.1190,20.7835,14.7833,22.5690,22.5690,15.8248,16.3990,16.4649,18.6028,20.2523
30,20.6475,20.7833,16.5009,22.5930,22.5930,15.9856,16.5451,16.4661,18.7358,20.3303
31,21.0369,21.0960,18.2174,22.9628,22.9938,16.1485,16.6919,16.5226,18.8722,20.4162
32,20.5340,20.1551,20.5742,21.0513,21.0513,16.2856,16.8001,16.6492,18.9403,20.4361
33,22.2170,20.2984,20.7462,22.5006,23.4212,16.4653,16.9062,16.7734,19.0482,20.5265
34,21.5150,20.6409,20.2679,23.1258,24.1164,16.6138,17.0160,16.8761,19.1681,20.6321
35,19.1909,19.3725,19.6837,21.7959,23.0978,16.6875,17.0833,16.9564,19.2432,20.7026
36,19.6161,18.5934,18.9715,20.5593,22.5544,16.7688,17.1253,17.0123,19.2797,20.7540
37,19.6302,18.2557,19.0752,21.6134,22.4086,16.8462,17.1558,17.0681,19.3428,20.7987
38,18.2445,17.3700,18.2798,21.0520,21.6806,16.8830,17.1615,17.1000,19.3878,20.8219
39,19.0733,18.5075,18.2708,21.1284,22.5418,16.9391,17.1960,17.1300,19.4324,20.8660
40,20.0321,18.7427,18.4728,21.6181,23.2495,17.0164,17.2346,17.1636,19.4871,20.9256
41,19.2199,18.4145,18.4395,20.4676,23.1439,17.0702,17.2634,17.1947,19.5110,20.9797
42,18.5876,17.1172,18.2214,21.0514,21.4207,17.1063,17.2599,17.2191,19.5476,20.9902
43,19.5865,17.4340,18.0978,20.8070,21.8811,17.1640,17.2640,17.2396,19.5769,21.0109
44,18.0502,16.6416,17.4911,20.3083,21.2585,17.1841,17.2498,17.2453,19.5936,21.0166
45,18.0948,16.5579,17.1093,20.2103,21.0984,17.2044,17.2345,17.2423,19.6073,21.0184
46,18.1027,16.4652,16.8246,19.8806,21.4808,17.2239,17.2177,17.2332,19.6132,21.0284
47,18.1027,16.4652,16.6240,19.8806,21.4808,17.2426,17.2017,17.2202,19.6189,21.0381
48,18.1575,16.6701,16.9641,20.2286,21.7687,17.2617,17.1907,17.2149,19.6316,21.0533
49,18.6543,16.5805,17.0832,19.6255,21.2582,17.2901,17.1782,17.2122,19.6315,21.0575
50,19.2428,17.1164,17.3195,20.0088,22.5179,17.3291,17.1770,17.2143,19.6390,21.0867
51,18.8760,16.2222,16.9278,18.8532,21.9411,17.3595,17.1582,17.2087,19.6236,21.1034
52,17.1881,15.4357,15.5545,18.0330,18.5801,17.3562,17.1251,17.1769,19.5930,21.0549
53,19.2817,15.9325,14.3765,19.0265,19.7161,17.3925,17.1026,17.1241,19.5823,21.0296
54,18.1829,15.6375,14.6010,17.9207,17.9207,17.4071,17.0755,17.0774,19.5516,20.9721
55,17.5275,16.5899,15.3729,19.7580,20.1302,17.4093,17.0667,17.0464,19.5553,20.9568
56,15.1832,16.0982,16.6765,19.0304,19.1890,17.3696,17.0494,17.0398,19.5459,20.9252
57,17.4847,15.9052,16.7947,18.4031,18.4598,17.3716,17.0293,17.0355,19.5259,20.8819
58,15.8303,15.7796,16.9109,18.0901,18.0901,17.3450,17.0077,17.0333,19.5011,20.8338
59,14.7608,15.8698,17.3546,18.1200,18.1996,17.3012,16.9885,17.0388,19.4777,20.7892
60,15.1210,14.1514,16.3617,15.8938,15.8938,17.2649,16.9412,17.0275,19.4180,20.7076
61,10.8281,13.7023,16.0523,15.9095,16.6675,17.1594,16.8881,17.0115,19.3605,20.6413
62,13.1579,13.8945,15.5387,15.9243,16.5495,17.0948,16.8398,16.9877,19.3051,20.5753
63,14.9024,13.8435,15.2801,15.3701,15.7634,17.0600,16.7922,16.9606,19.2426,20.4990
64,15.5708,14.6893,14.7090,15.6548,16.1472,17.0368,16.7594,16.9254,19.1865,20.4310
65,15.3404,14.7063,14.1741,14.9331,15.4137,17.0107,16.7278,16.8831,19.1211,20.3538
66,15.2873,15.1999,14.6185,16.1820,17.3955,16.9845,16.7046,16.8488,19.0766,20.3090
67,15.6368,14.4743,14.4064,14.7927,16.8792,16.9644,16.6714,16.8124,19.0126,20.2578
68,15.5663,14.9320,15.2992,16.1787,17.4829,16.9439,16.6458,16.7901,18.9710,20.2170
69,16.8471,15.7274,14.3971,16.8163,17.1568,16.9425,16.6325,16.7554,18.9397,20.1726
70,14.9491,15.7885,14.5543,16.4469,16.7134,16.9140,16.6204,16.7240,18.9041,20.1232
71,15.7116,14.8237,14.3732,15.6664,16.1064,16.8971,16.5951,16.6909,18.8585,20.0666
72,16.7658,16.3001,14.8459,18.0322,18.8435,16.8952,16.5910,16.6652,18.8470,20.0496
73,16.9044,15.8879,16.1624,17.2179,17.8530,16.8954,16.5814,16.6583,18.8247,20.0195
