Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,78.7843,78.7843,79.9558,76.2929,91.5692,78.7843,78.7843,79.9558,76.2929,91.5692
2,78.6954,78.6954,79.8496,76.2126,76.2126,78.7399,78.7399,79.9027,76.2528,83.8909
3,77.7902,77.7902,78.9442,75.1947,75.1947,78.4233,78.4233,79.5832,75.9001,80.9922
4,77.8047,77.8047,78.9365,75.2145,75.2145,78.2687,78.2687,79.4215,75.7287,79.5477
5,78.9544,78.9544,80.0309,76.3569,76.3569,78.4058,78.4058,79.5434,75.8543,78.9096
6,80.5332,80.5331,82.5105,79.8009,81.9077,78.7604,78.7604,80.0379,76.5121,79.4093
7,80.8215,80.8215,82.6593,80.1949,82.2268,79.0548,79.0548,80.4124,77.0382,79.8118
8,81.5683,81.5682,83.6811,81.7017,81.7017,79.3690,79.3690,80.8210,77.6212,80.0480
9,84.6030,84.6030,86.9398,83.7655,83.9452,79.9506,79.9505,81.5008,78.3039,80.4810
10,84.8028,84.8028,86.4539,84.1947,84.3860,80.4358,80.4358,81.9961,78.8929,80.8715
11,86.9454,86.9454,88.1767,86.4625,86.5690,81.0276,81.0276,82.5580,79.5811,81.3895
12,87.1570,87.1570,87.8984,86.5013,86.5013,81.5383,81.5383,83.0030,80.1578,81.8155
13,87.7644,87.7644,88.2546,86.8594,86.8594,82.0173,82.0173,83.4070,80.6733,82.2035
14,88.8661,88.8661,88.7041,87.2519,87.2519,82.5065,82.5065,83.7854,81.1432,82.5641
15,39.4255,39.4255,69.0346,42.0472,52.1835,79.6344,79.6344,82.8020,78.5368,80.5387
16,45.3381,45.3381,53.9788,43.5840,49.1527,77.4909,77.4909,81.0005,76.3522,78.5771
17,45.0765,45.0765,38.9390,43.9382,43.9411,75.5842,75.5842,78.5263,74.4455,76.5397
18,28.1825,28.1824,28.6338,25.6213,31.7562,72.9507,72.9507,75.7545,71.7331,74.0517
19,37.7167,37.7167,25.8961,34.1829,38.6140,71.0963,71.0963,73.1304,69.7567,72.1865
20,35.6697,35.6697,24.2074,35.5394,35.8223,69.3250,69.3250,70.6843,68.0459,70.3683
21,37.5492,37.5492,25.0905,37.3208,37.4444,67.8118,67.8118,68.5131,66.5828,68.8005
22,37.2129,37.2129,28.2722,37.0691,37.3009,66.4210,66.4210,66.6840,65.2412,67.3687
23,37.6988,37.6988,37.3728,37.6645,37.8743,65.1722,65.1722,65.4096,64.0423,66.0864
24,38.9719,38.9719,38.6693,38.6862,39.0267,64.0805,64.0805,64.2954,62.9858,64.9589
25,39.0172,39.0172,38.8433,38.8617,38.8617,63.0780,63.0780,63.2773,62.0208,63.9150
26,38.8853,38.8850,38.3627,38.8939,39.1218,62.1475,62.1475,62.3191,61.1313,62.9614
27,59.5802,59.5800,37.9085,48.7451,56.2437,62.0524,62.0524,61.4150,60.6725,62.7126
28,62.1447,62.1447,41.8547,57.4832,62.8759,62.0557,62.0557,60.7164,60.5586,62.7184
29,35.1485,35.1485,39.5116,35.1216,35.4167,61.1279,61.1279,59.9852,59.6815,61.7770
30,38.4944,38.4944,41.8281,37.7149,37.7149,60.3734,60.3734,59.3800,58.9493,60.9749
31,37.5586,37.5586,40.1863,37.4939,37.8202,59.6375,59.6374,58.7608,58.2572,60.2280
32,40.3418,40.3418,40.3970,40.1995,41.0743,59.0345,59.0345,58.1869,57.6929,59.6294
33,63.5513,63.5514,41.3796,60.6860,60.6860,59.1714,59.1713,57.6776,57.7836,59.6615
34,67.1882,67.1872,43.1908,61.6243,61.6243,59.4071,59.4071,57.2515,57.8965,59.7192
35,78.5226,78.2334,52.3961,71.2951,71.2951,59.9533,59.9450,57.1128,58.2793,60.0499
36,83.0048,82.8254,64.0725,80.5191,81.0765,60.5936,60.5806,57.3061,58.8971,60.6340
37,83.6697,83.5655,77.3961,80.7200,81.4425,61.2173,61.2018,57.8491,59.4869,61.1964
38,83.2520,83.2514,81.0302,80.4898,81.4474,61.7972,61.7820,58.4591,60.0396,61.7293
39,70.4617,70.0476,78.3791,65.0429,65.8830,62.0193,61.9940,58.9699,60.1679,61.8358
40,73.9993,73.1597,76.8830,65.9953,67.0679,62.3188,62.2731,59.4177,60.3136,61.9666
41,75.0143,74.0836,75.2233,66.4110,67.2680,62.6285,62.5612,59.8032,60.4623,62.0959
42,76.4810,76.0034,76.0054,66.6406,68.3232,62.9583,62.8812,60.1890,60.6094,62.2442
43,77.7707,76.7258,76.9350,68.1754,68.1754,63.3028,63.2032,60.5785,60.7854,62.3821
44,79.2705,77.5563,78.6749,65.0018,65.0018,63.6657,63.5294,60.9897,60.8812,62.4417
45,75.7317,74.0449,73.9621,64.0432,64.0432,63.9338,63.7631,61.2780,60.9515,62.4772
46,81.2617,79.7575,75.0013,76.4099,76.9752,64.3105,64.1108,61.5763,61.2875,62.7924
47,85.8471,84.2624,78.2460,79.7250,82.3244,64.7687,64.5395,61.9310,61.6798,63.2080
48,91.7189,90.6779,84.3110,87.7364,87.9469,65.3302,65.0841,62.3973,62.2227,63.7234
49,91.8672,90.7166,87.2125,88.1331,88.1331,65.8718,65.6072,62.9037,62.7514,64.2215
50,90.1127,90.0456,88.0851,89.0635,90.0265,66.3566,66.0960,63.4073,63.2777,64.7376
51,92.2828,92.2203,90.2127,91.4176,91.4176,66.8649,66.6082,63.9329,63.8294,65.2608
52,85.5956,84.3499,88.2172,70.9889,70.9889,67.2251,66.9494,64.3999,63.9671,65.3709
53,35.9817,33.0540,67.2489,28.7848,34.6456,66.6356,66.3099,64.4537,63.3033,64.7912
54,29.8657,23.8965,50.8281,25.4410,26.4537,65.9547,65.5244,64.2014,62.6022,64.0813
55,37.4943,30.3818,37.9525,30.6489,35.5987,65.4373,64.8855,63.7241,62.0212,63.5634
56,37.0212,34.4730,29.7711,27.2436,34.6328,64.9298,64.3424,63.1178,61.4002,63.0468
57,33.3750,32.4744,22.3577,30.1649,33.1546,64.3762,63.7833,62.4027,60.8522,62.5224
58,31.8356,31.2242,24.7011,28.4908,31.8057,63.8152,63.2219,61.7527,60.2942,61.9928
59,30.2510,31.7010,26.2902,32.3855,33.5992,63.2463,62.6877,61.1516,59.8212,61.5115
60,31.9101,32.8233,28.3838,32.8261,37.3573,62.7240,62.1899,60.6055,59.3713,61.1089
61,28.0000,29.1816,28.0352,31.2585,33.0249,62.1548,61.6488,60.0716,58.9104,60.6485
62,29.9967,31.3548,29.5856,30.6729,38.2548,61.6361,61.1602,59.5798,58.4550,60.2874
63,35.6603,37.3181,35.0401,36.0763,42.6966,61.2238,60.7818,59.1903,58.0997,60.0081
64,31.3436,29.4625,33.7282,29.4003,30.0673,60.7569,60.2924,58.7925,57.6513,59.5403
65,31.4416,29.8821,32.5366,30.0880,31.3828,60.3059,59.8245,58.3885,57.2273,59.1071
66,30.7860,28.9400,29.7692,27.9005,31.3542,59.8586,59.3566,57.9549,56.7829,58.6866
67,32.4290,31.6377,30.3197,32.1351,33.6390,59.4492,58.9429,57.5425,56.4150,58.3128
68,34.1862,31.7676,31.7001,31.5296,34.7619,59.0777,58.5433,57.1624,56.0491,57.9664
69,35.1334,30.8345,31.5197,32.7824,32.7824,58.7307,58.1417,56.7908,55.7119,57.6015
70,34.1616,30.1730,31.2162,32.9006,33.5951,58.3797,57.7421,56.4254,55.3860,57.2585
71,32.9263,28.2213,29.4319,27.1528,27.5009,58.0212,57.3263,56.0452,54.9884,56.8394
72,35.4176,31.4292,29.0232,29.7820,31.0350,57.7073,56.9667,55.6699,54.6383,56.4810
73,32.6192,29.5008,28.8736,27.8808,30.3710,57.3636,56.5904,55.3029,54.2717,56.1233
74,36.3895,30.1503,29.6819,31.0768,31.0768,57.0802,56.2331,54.9566,53.9583,55.7849
75,40.1141,33.9589,32.7315,36.7228,37.0037,56.8540,55.9361,54.6603,53.7285,55.5344
76,39.6560,33.3448,34.0076,35.7845,35.9436,56.6277,55.6389,54.3886,53.4924,55.2767
77,38.5519,33.4294,34.8490,36.6968,37.5955,56.3929,55.3504,54.1348,53.2742,55.0470
78,38.2694,32.1636,36.6360,32.9852,33.3789,56.1606,55.0532,53.9105,53.0141,54.7692
79,39.7293,35.3126,38.3380,33.7007,33.9600,55.9526,54.8033,53.7133,52.7697,54.5058
80,41.9890,36.3645,40.2777,32.4024,32.5162,55.7780,54.5728,53.5454,52.5151,54.2310
81,41.8035,36.6135,40.3315,32.3543,32.3543,55.6055,54.3511,53.3823,52.2662,53.9609
82,42.8676,38.2792,41.4964,35.5977,35.5977,55.4502,54.1551,53.2373,52.0629,53.7369
83,46.5932,40.5354,45.2290,38.9287,38.9287,55.3435,53.9910,53.1408,51.9046,53.5585
84,48.2158,40.1798,47.1363,36.3659,36.3659,55.2586,53.8266,53.0693,51.7197,53.3539
85,48.3969,40.3824,46.9284,34.9680,34.9680,55.1779,53.6684,52.9971,51.5226,53.1375
86,47.8440,39.2787,45.2653,34.2325,34.2325,55.0926,53.5011,52.9072,51.3215,52.9177
87,48.2695,38.6322,44.1189,33.5368,33.5368,55.0142,53.3302,52.8062,51.1171,52.6950
88,43.1011,35.7539,39.5099,32.0919,32.0919,54.8788,53.1304,52.6551,50.9009,52.4608
89,43.9638,29.9094,40.2605,26.8513,26.8513,54.7562,52.8695,52.5158,50.6307,52.1731
90,44.6554,30.3439,39.2369,28.5463,28.5463,54.6439,52.6192,52.3683,50.3853,51.9106
91,41.5865,29.6328,35.5207,28.1608,28.2527,54.5004,52.3666,52.1831,50.1411,51.6506
92,18.4801,17.4331,25.8778,18.4431,20.4234,54.1089,51.9869,51.8972,49.7965,51.3112
93,22.7639,22.5457,22.3621,22.7619,22.7619,53.7719,51.6704,51.5796,49.5059,51.0042
94,23.0618,22.4593,19.6296,20.6460,20.6460,53.4452,51.3596,51.2397,49.1988,50.6812
95,19.9861,19.9696,18.5123,19.6310,22.7057,53.0930,51.0292,50.8952,48.8876,50.3867
96,23.0221,24.4008,19.3171,22.2584,24.5285,52.7797,50.7518,50.5663,48.6102,50.1174
97,24.3938,24.5565,22.8486,24.7513,25.5407,52.4871,50.4818,50.2805,48.3642,49.8640
98,24.1263,24.1016,22.3924,24.4946,24.6254,52.1977,50.2126,49.9960,48.1207,49.6065
99,24.6159,23.8438,19.7482,23.5469,23.5854,51.9191,49.9462,49.6904,47.8724,49.3436
100,18.2425,18.4667,16.9631,18.6014,18.9137,51.5823,49.6314,49.3632,47.5797,49.0393
101,17.8597,18.3560,16.9930,17.3708,17.3708,51.2484,49.3218,49.0427,47.2806,48.7258
102,19.3406,19.8140,16.7936,18.0893,18.8617,50.9356,49.0325,48.7265,46.9944,48.4330
103,19.3790,19.8953,16.2589,19.4491,20.4315,50.6292,48.7496,48.4113,46.7270,48.1611
104,14.7557,15.1162,16.9880,14.7783,14.7783,50.2843,48.4262,48.1091,46.4198,47.8402
105,14.9980,14.7436,16.1990,14.0327,14.0327,49.9482,48.1054,47.8052,46.1114,47.5182
106,15.7978,15.9616,15.9848,15.5322,17.2104,49.6261,47.8022,47.5050,45.8229,47.2323
107,18.4035,17.7001,15.9931,16.5211,18.8776,49.3343,47.5208,47.2105,45.5490,46.9673
108,17.6301,17.6927,15.9058,17.4116,18.5791,49.0407,47.2446,46.9207,45.2885,46.7044
109,18.5474,17.8398,15.8688,17.2597,17.5288,48.7610,46.9749,46.6358,45.0314,46.4367
110,18.6737,17.8234,17.0175,17.9918,17.9918,48.4874,46.7099,46.3665,44.7855,46.1782
111,19.2825,17.8587,17.9666,18.4612,19.0125,48.2243,46.4499,46.1107,44.5484,45.9334
