Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,29.2922,29.1791,29.4811,28.9232,33.1674,29.2922,29.1791,29.4811,28.9232,33.1674
2,29.8636,29.7504,30.0443,29.5668,29.5668,29.5779,29.4647,29.7627,29.2450,31.3671
3,29.8263,29.7289,29.9996,29.7107,29.7107,29.6607,29.5528,29.8417,29.4002,30.8150
4,30.1301,30.0527,30.3165,30.3349,30.3349,29.7781,29.6778,29.9604,29.6339,30.6950
5,31.3741,31.3067,31.4917,31.1348,31.9960,30.0973,30.0036,30.2667,29.9341,30.9552
6,32.4124,32.5360,32.1232,29.6446,32.5537,30.4831,30.4256,30.5761,29.8858,31.2216
7,32.4314,32.5725,32.4443,31.3993,32.5627,30.7614,30.7323,30.8430,30.1020,31.4132
8,32.7703,33.1036,33.2717,30.9910,33.3238,31.0125,31.0287,31.1466,30.2132,31.6520
9,33.3176,33.0378,33.6112,28.9746,28.9746,31.2687,31.2520,31.4204,30.0755,31.3545
10,31.9625,31.8319,33.9747,26.2350,26.2350,31.3380,31.3100,31.6758,29.6915,30.8426
11,29.7699,29.3330,32.5890,26.1692,28.4495,31.1955,31.1302,31.7589,29.3713,30.6250
12,33.1636,32.4083,32.6462,28.7355,29.1613,31.3595,31.2367,31.8328,29.3183,30.5030
13,25.0448,25.0940,27.6081,24.7400,24.9172,30.8738,30.7642,31.5078,28.9661,30.0733
14,24.8661,25.5389,24.1086,24.4518,26.5408,30.4446,30.3910,30.9793,28.6437,29.8210
15,25.2733,25.9196,22.5953,24.3628,27.5644,30.0999,30.0929,30.4204,28.3583,29.6706
16,24.9464,25.4707,23.4266,24.7155,26.3297,29.7778,29.8040,29.9833,28.1306,29.4618
17,22.8766,23.4628,24.9809,23.5280,23.5280,29.3718,29.4310,29.6890,27.8599,29.1127
18,15.7489,16.3408,22.2297,15.4705,15.4705,28.6150,28.7038,29.2746,27.1716,28.3548
19,20.5077,19.2984,20.7392,16.8667,16.9008,28.1883,28.2087,28.8254,26.6292,27.7520
20,21.2180,22.6442,20.9607,20.8481,20.8481,27.8398,27.9305,28.4321,26.3401,27.4068
21,38.9231,37.9725,19.3408,33.4759,34.1538,28.3676,28.4087,27.9992,26.6799,27.7281
22,37.8908,37.9564,20.9421,33.4345,33.4715,28.8004,28.8427,27.6784,26.9870,27.9891
23,35.6568,35.8542,26.4261,32.6983,32.8970,29.0985,29.1475,27.6240,27.2353,28.2025
24,35.8348,35.7395,28.9751,33.4367,33.4367,29.3792,29.4222,27.6803,27.4937,28.4206
25,28.0438,28.0401,31.2565,28.4428,28.5722,29.3258,29.3669,27.8233,27.5316,28.4267
26,28.2441,28.1972,29.8525,28.4381,28.4531,29.2842,29.3219,27.9014,27.5665,28.4277
27,24.9823,24.9868,27.0022,25.3566,25.8827,29.1249,29.1614,27.8681,27.4847,28.3334
28,24.1162,24.2226,24.8998,23.5229,25.7998,28.9460,28.9850,27.7621,27.3432,28.2429
29,24.4541,24.5302,24.3115,23.8466,24.9968,28.7911,28.8314,27.6431,27.2226,28.1310
30,23.1583,22.7929,23.6746,23.0192,23.0192,28.6033,28.6301,27.5108,27.0825,27.9606
31,25.7166,26.2397,23.2836,26.5894,26.5928,28.5102,28.5530,27.3744,27.0666,27.9165
32,21.8796,22.1918,22.1141,23.6816,25.8497,28.3030,28.3542,27.2101,26.9608,27.8519
33,24.7256,24.3879,22.1867,24.4167,26.3470,28.1946,28.2340,27.0578,26.8837,27.8063
34,24.5308,24.8663,22.0104,23.8818,26.7356,28.0868,28.1349,26.9094,26.7954,27.7748
35,25.2855,25.7629,21.9385,22.3299,22.3299,28.0068,28.0672,26.7674,26.6678,27.6192
36,28.2837,28.7625,22.2509,28.0530,28.0530,28.0145,28.0865,26.6419,26.7063,27.6313
37,29.9771,30.4888,24.9325,29.9245,31.4221,28.0675,28.1514,26.5957,26.7933,27.7337
38,29.8103,30.1820,27.1187,30.1586,31.6193,28.1134,28.2049,26.6095,26.8818,27.8360
39,31.2016,31.4555,29.5550,30.5535,30.5535,28.1926,28.2882,26.6850,26.9760,27.9057
40,30.9879,30.8090,30.7760,29.6359,29.6359,28.2625,28.3512,26.7873,27.0425,27.9489
