Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,57.0566,57.0236,57.7695,57.9039,59.5926,57.0566,57.0236,57.7695,57.9039,59.5926
2,57.0566,57.0236,57.7666,57.9039,59.5926,57.0566,57.0236,57.7680,57.9039,59.5926
3,56.2788,56.2462,57.0240,57.1931,57.1931,56.7974,56.7645,57.5200,57.6670,58.7928
4,56.3955,56.3631,57.1715,57.1551,57.1551,56.6969,56.6641,57.4329,57.5390,58.3834
5,56.3955,56.3631,57.1686,57.1551,57.1551,56.6366,56.6039,57.3800,57.4622,58.1377
6,57.7780,57.6606,59.0236,54.5521,54.5521,56.8268,56.7800,57.6539,56.9772,57.5401
7,53.0428,52.8554,57.9098,51.4276,51.6451,56.2863,56.2194,57.6905,56.1844,56.6980
8,58.7549,58.7370,58.2129,57.6772,57.6772,56.5948,56.5341,57.7558,56.3710,56.8204
9,49.3368,49.2680,56.1561,44.3196,44.3196,55.7884,55.7267,57.5781,55.0320,55.4314
10,55.7700,54.5385,56.2332,56.5197,57.1127,55.7866,55.6079,57.4436,55.1807,55.5995
11,56.2057,55.9750,54.4556,46.3529,46.3529,55.8247,55.6413,57.1719,54.3782,54.7589
12,55.5506,55.4609,55.6028,44.5766,44.5766,55.8018,55.6263,57.0412,53.5614,53.9104
13,50.7443,50.3979,49.6850,35.1033,35.1033,55.4128,55.2241,56.4753,52.1415,52.4637
14,48.7361,47.8895,46.4916,37.4258,37.4258,54.9359,54.7002,55.7622,51.0904,51.3896
15,47.2847,46.6068,43.1069,35.7523,35.7523,54.4258,54.1606,54.9185,50.0679,50.3471
16,80.0792,78.4136,42.6658,52.6169,52.6169,56.0291,55.6764,54.1527,50.2272,50.4889
17,51.9462,48.6617,40.9978,49.2595,49.2595,55.7890,55.2638,53.3789,50.1703,50.4166
18,52.6707,49.4081,42.3072,49.5027,53.5063,55.6157,54.9385,52.7638,50.1332,50.5883
19,80.4692,77.6865,45.4313,70.0114,74.0489,56.9238,56.1357,52.3779,51.1794,51.8230
20,79.9985,77.3307,54.0005,75.1331,75.1331,58.0775,57.1955,52.4590,52.3771,52.9885
21,79.6506,76.1586,54.9453,73.7384,75.0107,59.1048,58.0985,52.5774,53.3943,54.0372
22,54.7406,50.6980,55.6091,47.1751,47.1751,58.9065,57.7621,52.7152,53.1116,53.7253
23,45.2030,41.8322,49.9771,40.2075,40.2075,58.3106,57.0695,52.5962,52.5506,53.1376
24,42.5165,38.4430,43.6728,41.1900,41.4554,57.6526,56.2934,52.2243,52.0772,52.6508
25,40.6959,37.8681,39.6187,38.2429,41.1363,56.9743,55.5564,51.7201,51.5238,52.1902
26,41.4169,37.6248,38.8441,36.8739,41.5209,56.3759,54.8667,51.2249,50.9604,51.7799
27,38.3183,35.4319,37.7632,37.7985,40.6899,55.7071,54.1469,50.7263,50.4729,51.3691
28,37.6816,34.9613,37.5974,36.8493,40.2225,55.0634,53.4617,50.2574,49.9863,50.9710
29,36.2401,33.5996,36.6446,34.6953,39.8067,54.4143,52.7768,49.7880,49.4591,50.5861
30,37.6356,35.0771,36.3671,36.8477,40.9040,53.8550,52.1868,49.3407,49.0387,50.2633
31,37.9011,36.2875,37.0683,36.5316,40.6407,53.3404,51.6739,48.9448,48.6352,49.9529
32,39.0748,36.6945,37.0537,38.4038,43.3750,52.8946,51.2058,48.5732,48.3155,49.7474
33,39.1066,36.5083,37.6632,37.2965,43.1734,52.4767,50.7605,48.2426,47.9816,49.5482
34,37.7220,35.5845,38.0676,36.9271,40.5343,52.0428,50.3141,47.9433,47.6565,49.2830
35,36.7569,35.2111,37.9317,39.6772,43.3962,51.6060,49.8826,47.6573,47.4285,49.1148
36,39.7791,37.6112,37.5510,41.0830,46.1063,51.2775,49.5417,47.3765,47.2522,49.0313
37,39.5346,38.0244,37.8583,32.3959,32.3959,50.9601,49.2304,47.1193,46.8507,48.5817
38,37.4531,33.2874,36.5239,33.1069,33.1069,50.6047,48.8109,46.8405,46.4890,48.1744
39,37.4531,33.2874,36.4706,33.1069,33.1069,50.2675,48.4128,46.5746,46.1459,47.7881
40,30.0572,25.5452,34.4172,24.6513,24.6513,49.7622,47.8412,46.2706,45.6085,47.2097
41,22.0950,19.1191,28.2737,21.3314,24.5321,49.0874,47.1406,45.8317,45.0164,46.6566
42,19.6261,17.1529,22.8098,20.1720,23.8141,48.3859,46.4266,45.2835,44.4249,46.1127
43,17.8617,16.3185,18.8367,18.1009,23.9747,47.6761,45.7264,44.6685,43.8127,45.5978
44,16.8790,15.1490,16.2931,14.2962,23.4031,46.9761,45.0315,44.0236,43.1418,45.0934
45,16.2633,14.5686,15.4052,13.4446,23.7862,46.2936,44.3545,43.3876,42.4819,44.6199
46,15.8027,15.9724,14.3007,15.0195,24.7185,45.6308,43.7375,42.7553,41.8849,44.1873
47,14.5280,14.6775,12.5994,13.5934,24.2594,44.9690,43.1192,42.1137,41.2829,43.7633
48,15.6494,15.7508,12.4568,14.2392,25.4806,44.3582,42.5491,41.4958,40.7195,43.3824
49,16.7978,16.8908,14.7863,15.7361,26.2009,43.7957,42.0254,40.9508,40.2097,43.0318
50,16.6138,16.7114,15.9088,15.6869,25.8552,43.2521,41.5191,40.4499,39.7192,42.6882
51,15.6818,15.6691,15.8935,15.2114,25.7847,42.7115,41.0123,39.9684,39.2387,42.3568
52,15.2430,15.2383,15.2605,15.7246,25.4402,42.1833,40.5166,39.4933,38.7865,42.0315
53,15.2880,15.3041,15.1943,15.9767,25.7811,41.6758,40.0409,39.0348,38.3561,41.7249
54,15.3318,15.3478,15.3715,16.2980,25.8399,41.1880,39.5836,38.5966,37.9476,41.4307
55,15.7451,15.5910,16.1558,15.7392,27.0665,40.7254,39.1474,38.1886,37.5438,41.1695
56,16.3842,17.7284,17.2217,16.5588,27.3978,40.2907,38.7649,37.8142,37.1691,40.9236
57,16.5583,18.2805,17.5282,16.8961,28.1198,39.8743,38.4055,37.4583,36.8134,40.6990
58,16.6692,18.2447,17.8453,17.0138,27.8915,39.4743,38.0579,37.1201,36.4721,40.4782
59,17.1707,18.8630,18.3092,17.4611,28.9884,39.0962,37.7326,36.8013,36.1498,40.2834
60,19.0060,20.5641,18.1356,18.4996,29.7125,38.7614,37.4465,36.4902,35.8557,40.1072
61,18.0702,20.1784,17.4371,17.9168,30.3623,38.4222,37.1634,36.1778,35.5616,39.9475
62,18.7634,20.8133,17.7419,18.5514,29.8965,38.1051,36.8997,35.8805,35.2872,39.7854
63,19.6762,21.7153,19.3802,20.4652,30.9515,37.8126,36.6587,35.6186,35.0520,39.6451
64,22.7095,24.0971,20.8173,23.3364,31.4246,37.5766,36.4624,35.3873,34.8689,39.5167
65,20.9041,21.7616,20.8401,21.5873,29.1878,37.3201,36.2362,35.1635,34.6646,39.3578
66,20.3405,21.2222,21.0954,21.0461,28.4036,37.0628,36.0087,34.9504,34.4582,39.1918
67,17.2706,18.1026,20.4342,19.6901,28.2155,36.7674,35.7415,34.7337,34.2378,39.0280
68,17.6151,18.3426,20.0555,19.5783,26.0363,36.4858,35.4856,34.5178,34.0222,38.8369
69,18.3666,18.8816,19.4362,20.2790,26.9683,36.2232,35.2450,34.2993,33.8231,38.6649
70,19.3752,19.6529,19.2269,21.8156,25.7213,35.9825,35.0222,34.0839,33.6515,38.4800
71,17.2637,17.8742,18.2005,19.9342,26.1657,35.7189,34.7807,33.8602,33.4583,38.3066
72,17.8585,17.5988,18.1162,20.1640,26.6908,35.4708,34.5421,33.6416,33.2737,38.1453
73,17.8773,17.5803,17.9850,20.3936,26.3760,35.2298,34.3097,33.4271,33.0972,37.9840
74,17.9963,17.7106,18.0645,20.2286,26.9459,34.9969,34.0854,33.2195,32.9233,37.8349
75,18.8369,18.7957,18.2739,20.4387,27.1552,34.7814,33.8815,33.0202,32.7569,37.6925
76,19.0970,19.1753,18.6495,21.1006,27.2129,34.5751,33.6880,32.8311,32.6035,37.5546
77,19.3088,19.3713,18.7602,21.4110,27.4577,34.3768,33.5021,32.6484,32.4581,37.4235
78,17.9099,17.7316,18.0900,21.3870,26.2256,34.1657,33.2999,32.4617,32.3162,37.2799
79,20.1640,19.8196,18.1641,23.5496,24.7846,33.9884,33.1293,32.2808,32.2052,37.1217
80,20.3180,20.1299,18.4756,23.2256,23.6771,33.8176,32.9668,32.1082,32.0930,36.9537
81,19.9375,19.3230,18.8903,23.2934,23.5837,33.6462,32.7983,31.9450,31.9844,36.7886
82,20.6095,20.9134,19.3863,23.5222,23.7222,33.4872,32.6534,31.7919,31.8812,36.6293
83,20.6808,20.6613,19.8118,25.3757,26.0855,33.3329,32.5089,31.6475,31.8028,36.5022
84,23.1066,23.6130,20.8343,28.2027,28.6010,33.2112,32.4030,31.5188,31.7599,36.4082
85,22.9866,23.3343,21.8532,27.5904,28.5200,33.0909,32.2963,31.4051,31.7109,36.3154
86,23.8249,24.3791,23.1846,28.2876,29.1833,32.9832,32.2043,31.3095,31.6711,36.2324
87,26.4179,26.9847,26.8875,31.1542,32.2062,32.9077,32.1443,31.2587,31.6651,36.1861
88,28.1435,29.2060,28.9317,30.3429,34.2346,32.8536,32.1109,31.2322,31.6501,36.1640
89,31.0744,32.1204,29.9945,32.1257,36.5096,32.8336,32.1110,31.2183,31.6554,36.1679
90,24.6571,24.3284,31.6437,25.5110,33.5403,32.7427,32.0245,31.2230,31.5872,36.1387
91,31.1652,31.5820,34.1662,30.8979,40.9460,32.7254,32.0197,31.2554,31.5796,36.1915
92,29.7342,29.9973,33.8174,30.4525,35.0093,32.6929,31.9977,31.2832,31.5673,36.1786
93,29.9022,30.3483,31.4868,32.5370,32.5370,32.6629,31.9799,31.2854,31.5778,36.1395
94,31.2654,31.7830,30.4679,32.5497,36.4151,32.6480,31.9778,31.2767,31.5881,36.1424
95,33.2980,33.5464,34.0365,36.4435,36.4435,32.6548,31.9944,31.3058,31.6392,36.1456
96,35.4043,34.0042,34.9406,37.6444,38.4127,32.6835,32.0153,31.3436,31.7018,36.1692
97,34.8644,33.0656,33.7970,36.7251,37.4149,32.7060,32.0261,31.3689,31.7536,36.1820
98,41.2129,38.9936,35.6199,42.8030,44.0867,32.7928,32.0972,31.4123,31.8663,36.2627
99,40.1572,39.0099,35.9206,40.4618,40.4618,32.8671,32.1670,31.4578,31.9531,36.3051
100,46.9058,45.5314,40.6258,42.8234,42.8234,33.0075,32.3007,31.5495,32.0618,36.3703
101,49.2949,47.8315,43.9756,44.9372,44.9372,33.1688,32.4545,31.6726,32.1893,36.4551
102,50.2832,48.5245,46.2620,48.9045,48.9045,33.3366,32.6120,31.8156,32.3532,36.5772
103,54.9798,52.2227,49.4468,48.7978,48.7978,33.5467,32.8024,31.9868,32.5128,36.6958
104,59.8203,59.2815,51.8603,56.7052,57.8961,33.7993,33.0570,32.1779,32.7455,36.8997
105,58.2711,58.0067,53.8853,56.3486,56.5067,34.0324,33.2946,32.3846,32.9703,37.0864
106,67.7482,64.5635,58.5266,64.0288,64.0288,34.3505,33.5896,32.6312,33.2633,37.3406
107,69.7155,64.0680,63.3197,58.8550,63.4485,34.6810,33.8745,32.9180,33.5024,37.5846
108,61.8952,61.0103,57.2288,60.5175,62.0656,34.9330,34.1257,33.1431,33.7526,37.8113
109,57.3395,58.1892,55.2917,56.8646,57.0225,35.1385,34.3465,33.3463,33.9646,37.9875
110,54.3242,54.8718,55.4097,50.7324,50.7324,35.3130,34.5331,33.5469,34.1170,38.1034
111,58.4483,57.3768,56.8347,51.1893,51.2926,35.5214,34.7389,33.7567,34.2708,38.2222
112,56.9990,57.6347,59.6084,53.6346,53.6346,35.7131,34.9433,33.9875,34.4437,38.3598
113,58.3139,58.5903,61.1699,55.2859,55.4453,35.9132,35.1526,34.2281,34.6282,38.5110
114,52.5041,53.1129,55.4094,54.1344,54.3772,36.0587,35.3101,34.4139,34.7993,38.6502
115,46.0988,43.0308,44.7612,44.5231,48.4402,36.1460,35.3772,34.5038,34.8838,38.7353
116,41.6347,37.5263,38.2603,39.2498,43.7428,36.1933,35.3958,34.5362,34.9215,38.7785
117,48.4240,36.0752,32.5815,37.9790,37.9790,36.2978,35.4016,34.5195,34.9476,38.7716
118,59.8168,52.0063,28.9682,48.3349,48.3349,36.4972,35.5423,34.4725,35.0611,38.8527
119,52.7493,47.3735,35.2836,42.2302,42.2302,36.6337,35.6417,34.4793,35.1213,38.8811
120,55.8644,46.1038,35.7520,43.3904,43.3904,36.7940,35.7289,34.4899,35.1902,38.9186
121,47.9048,41.8615,38.5662,40.7421,40.7421,36.8858,35.7796,34.5236,35.2361,38.9337
122,39.0920,34.7513,37.8527,35.4619,35.4619,36.9039,35.7712,34.5509,35.2380,38.9053
123,37.9394,33.1709,36.7229,35.2767,36.9822,36.9123,35.7500,34.5685,35.2383,38.8896
124,37.3316,31.8446,34.2609,34.5700,36.0006,36.9157,35.7185,34.5661,35.2329,38.8663
125,37.1548,31.8152,35.3973,34.1899,36.3088,36.9176,35.6873,34.5727,35.2245,38.8459
126,37.1932,29.7224,36.6379,33.1899,33.1899,36.9198,35.6400,34.5891,35.2084,38.8010
127,37.6290,28.7496,38.6337,32.9371,32.9371,36.9254,35.5857,34.6209,35.1905,38.7548
