Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,31.7306,31.7306,32.0511,33.0479,37.2290,31.7306,31.7306,32.0511,33.0479,37.2290
2,33.2943,33.2943,33.6227,34.4522,34.6163,32.5125,32.5125,32.8369,33.7500,35.9227
3,33.2943,33.2943,33.6227,34.4522,34.6163,32.7731,32.7731,33.0988,33.9841,35.4872
4,34.5169,34.5169,34.8990,35.1527,35.1527,33.2090,33.2090,33.5489,34.2762,35.4036
5,34.3208,34.3208,34.7164,34.8281,34.8281,33.4314,33.4314,33.7824,34.3866,35.2885
6,39.6522,39.6522,35.8901,39.1036,39.1036,34.4682,34.4682,34.1337,35.1728,35.9243
7,36.3286,36.3286,36.1797,36.3559,36.3559,34.7340,34.7340,34.4260,35.3418,35.9860
8,35.8428,35.8428,36.1748,38.2916,38.2983,34.8726,34.8726,34.6446,35.7105,36.2750
9,35.9346,35.9346,36.1995,38.1693,38.1693,34.9906,34.9906,34.8173,35.9837,36.4855
10,39.7539,39.7539,36.9649,40.6108,40.6108,35.4669,35.4669,35.0321,36.4464,36.8980
11,40.2410,40.2410,37.3431,40.9974,40.9974,35.9009,35.9009,35.2422,36.8602,37.2707
12,35.9399,35.9399,37.8125,37.0762,37.0762,35.9042,35.9042,35.4564,36.8782,37.2545
13,31.5282,31.5282,33.5677,33.9879,37.1992,35.5675,35.5675,35.3111,36.6558,37.2502
14,31.4922,31.4922,33.5490,33.9828,37.1850,35.2764,35.2764,35.1852,36.4649,37.2456
15,28.6141,28.6141,27.8802,31.0374,38.0350,34.8323,34.8323,34.6982,36.1031,37.2982
16,28.6141,28.6141,27.7101,31.0374,38.0350,34.4436,34.4436,34.2615,35.7865,37.3443
17,28.6491,28.6491,29.6624,33.0180,34.7796,34.1028,34.1028,33.9909,35.6236,37.1934
18,28.1481,28.1481,29.5137,32.7508,34.5895,33.7720,33.7720,33.7422,35.4640,37.0487
19,27.8065,27.8065,29.0582,32.3315,34.1545,33.4580,33.4580,33.4957,35.2991,36.8964
20,27.9973,27.9973,28.6942,32.5650,34.3427,33.1850,33.1850,33.2556,35.1624,36.7687
21,27.2636,27.2636,28.1438,31.1267,33.0385,32.9030,32.9030,33.0122,34.9703,36.5911
22,28.9852,28.9852,28.4438,31.8263,34.2766,32.7249,32.7249,32.8045,34.8274,36.4859
23,29.3530,29.3530,29.0219,32.4806,34.8015,32.5783,32.5783,32.6401,34.7253,36.4127
24,29.4170,29.4170,29.2186,33.2528,35.0301,32.4466,32.4466,32.4975,34.6640,36.3551
25,29.1341,29.1341,29.0754,32.9982,34.6873,32.3141,32.3141,32.3606,34.5973,36.2883
26,29.7763,29.7763,29.9820,32.6051,35.2720,32.2165,32.2165,32.2691,34.5207,36.2493
27,27.6408,27.6408,29.0052,29.9858,33.1423,32.0470,32.0470,32.1483,34.3528,36.1342
28,29.6177,29.6177,30.0345,31.6126,31.6126,31.9603,31.9603,32.0728,34.2549,35.9727
29,29.6450,29.6450,29.7897,31.6292,31.6292,31.8804,31.8804,31.9940,34.1643,35.8229
30,30.5245,30.5245,29.9766,32.2041,33.1856,31.8352,31.8352,31.9268,34.0990,35.7350
31,31.5181,31.5181,30.8722,32.6648,33.4425,31.8250,31.8250,31.8928,34.0527,35.6611
32,32.2687,32.2687,31.7121,31.4107,31.8474,31.8389,31.8389,31.8871,33.9702,35.5419
33,32.4005,32.4005,31.8628,31.2060,31.2060,31.8559,31.8559,31.8864,33.8864,35.4105
34,32.9064,32.9064,32.5633,31.5702,31.5702,31.8868,31.8868,31.9063,33.8183,35.2975
35,33.0522,33.0522,33.0745,31.1057,31.1057,31.9201,31.9201,31.9397,33.7408,35.1778
36,33.9967,33.9967,34.0791,33.9185,33.9185,31.9778,31.9778,31.9991,33.7457,35.1428
37,36.3695,36.3695,36.4967,35.1868,35.1868,32.0965,32.0965,32.1207,33.7847,35.1440
38,36.1075,36.1075,36.3985,33.8864,35.1636,32.2020,32.2020,32.2332,33.7874,35.1445
39,39.3966,39.3966,39.5616,36.8548,38.6490,32.3865,32.3865,32.4211,33.8660,35.2344
40,40.2543,40.2543,39.8475,38.8103,39.0086,32.5832,32.5832,32.6068,33.9896,35.3287
41,41.2391,41.2391,41.2668,39.3825,40.1504,32.7943,32.7943,32.8180,34.1211,35.4463
42,41.1104,41.1104,42.5303,35.8585,41.0811,32.9923,32.9923,33.0493,34.1625,35.5805
43,39.6207,39.6203,41.2474,36.9861,40.4078,33.1464,33.1464,33.2399,34.2282,35.6927
44,38.9697,38.9695,41.3337,37.2551,37.6784,33.2788,33.2788,33.4239,34.2970,35.7379
45,39.0330,39.0329,41.2981,37.4702,37.6073,33.4067,33.4067,33.5988,34.3675,35.7794
46,38.7594,38.7594,40.8540,37.6791,37.8836,33.5230,33.5230,33.7566,34.4395,35.8252
47,39.1771,39.1770,40.7475,36.5560,36.5560,33.6433,33.6433,33.9053,34.4845,35.8407
48,41.8526,41.8525,40.4063,43.1163,43.3723,33.8144,33.8143,34.0407,34.6643,35.9976
49,36.1791,36.1800,39.6624,37.4055,37.4055,33.8626,33.8626,34.1555,34.7203,36.0263
50,35.6628,35.6628,38.6973,35.2069,37.1745,33.8986,33.8986,34.2463,34.7300,36.0493
51,36.9476,36.9476,38.7240,35.9866,39.2955,33.9584,33.9584,34.3341,34.7547,36.1130
52,35.8769,35.8769,39.7988,34.1477,36.3288,33.9953,33.9953,34.4392,34.7430,36.1171
53,38.3172,38.3172,40.4156,37.7628,38.1304,34.0768,34.0768,34.5520,34.8000,36.1551
54,37.6771,37.6770,41.2413,36.4466,36.4466,34.1435,34.1435,34.6758,34.8305,36.1605
55,39.4649,39.4649,41.6235,39.4965,39.4965,34.2403,34.2403,34.8022,34.9153,36.2212
56,37.4269,37.4270,42.2948,36.6183,36.6183,34.2972,34.2972,34.9360,34.9457,36.2282
57,36.2481,36.2482,41.6984,35.7441,35.7441,34.3314,34.3314,35.0546,34.9597,36.2197
58,38.1689,38.1690,41.6556,37.9340,37.9340,34.3976,34.3976,35.1684,35.0110,36.2493
59,40.0259,40.0259,41.5017,39.5346,40.3361,34.4930,34.4930,35.2758,35.0877,36.3186
60,39.1996,39.1996,40.9862,39.0103,39.3631,34.5714,34.5714,35.3709,35.1530,36.3693
61,39.8598,39.8598,40.4672,39.8589,40.0003,34.6581,34.6581,35.4545,35.2302,36.4288
62,38.8670,38.8666,40.0807,38.7082,38.9784,34.7260,34.7260,35.5291,35.2863,36.4700
63,36.5531,36.5528,37.4435,36.3608,36.6935,34.7550,34.7550,35.5595,35.3033,36.4735
64,36.4016,36.4011,37.1613,36.5276,36.5276,34.7807,34.7807,35.5845,35.3225,36.4744
65,36.6053,36.6049,36.9594,36.4058,36.4058,34.8088,34.8088,35.6057,35.3391,36.4733
66,36.6682,36.6679,36.6509,36.3601,36.3601,34.8370,34.8369,35.6215,35.3546,36.4716
67,36.0272,36.0270,35.8880,36.2288,36.2288,34.8547,34.8547,35.6255,35.3676,36.4680
68,36.0337,36.0335,35.7047,36.2587,36.2587,34.8721,34.8720,35.6266,35.3807,36.4649
69,35.2697,35.2697,34.8591,35.6121,36.4244,34.8778,34.8778,35.6155,35.3841,36.4643
70,33.9706,33.9705,33.6520,34.3355,36.9129,34.8649,34.8648,35.5875,35.3691,36.4707
71,32.7540,32.7538,32.5308,33.5959,36.9344,34.8351,34.8351,35.5444,35.3441,36.4772
72,34.5299,34.5299,33.6543,35.6202,35.9512,34.8309,34.8309,35.5182,35.3480,36.4699
73,35.1006,35.1007,34.2428,33.4912,35.4351,34.8346,34.8346,35.5007,35.3225,36.4558
74,36.0623,36.0623,33.2952,37.2893,37.2893,34.8512,34.8511,35.4709,35.3491,36.4670
75,29.5930,29.5930,30.9303,31.3287,34.5908,34.7811,34.7810,35.4103,35.2955,36.4420
76,32.5874,32.5864,30.8481,32.9808,33.9143,34.7522,34.7522,35.3503,35.2651,36.4087
77,32.2194,32.2183,29.2782,32.5364,33.5384,34.7193,34.7193,35.2715,35.2296,36.3715
